"Tabela 1419 - IPCA - Variação mensal, acumulada no ano, acumulada em 12 meses e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (de janeiro/2012 até dezembro/2019)"
"Mês";"Geral, grupo, subgrupo, item e subitem";"Variável"
"Mês";"Geral, grupo, subgrupo, item e subitem";"Brasil"
"Mês";"Geral, grupo, subgrupo, item e subitem";"IPCA - Variação mensal (%)";"IPCA - Peso mensal (%)"
"janeiro 2012";"Índice geral";"0,56";"100,0000"
"janeiro 2012";"1.Alimentação e bebidas";"0,86";"23,1237"
"janeiro 2012";"2101.Aluguel e taxas";"0,96";"6,7647"
"janeiro 2012";"2103.Reparos";"0,80";"2,4003"
"janeiro 2012";"2104.Artigos de limpeza";"0,30";"0,8292"
"janeiro 2012";"22.Combustíveis e energia";"-0,20";"4,6228"
"janeiro 2012";"3.Artigos de residência";"0,16";"4,6758"
"janeiro 2012";"4.Vestuário";"0,07";"6,6692"
"janeiro 2012";"5101.Transporte público";"3,18";"4,8745"
"janeiro 2012";"5102.Veículo próprio";"0,10";"10,3167"
"janeiro 2012";"5104.Combustíveis (veículos)";"-0,45";"5,3510"
"janeiro 2012";"61.Produtos farmacêuticos e óticos";"0,12";"3,7694"
"janeiro 2012";"62.Serviços de saúde";"0,92";"4,6563"
"janeiro 2012";"63.Cuidados pessoais";"-0,51";"2,6678"
"janeiro 2012";"71.Serviços pessoais";"0,49";"6,0109"
"janeiro 2012";"7201001.Cinema";"0,88";"0,1830"
"janeiro 2012";"7201002.CD e DVD";"-0,02";"0,0648"
"janeiro 2012";"7201003.Ingresso para jogo";"-0,47";"0,0151"
"janeiro 2012";"7201006.Clube";"2,24";"0,1535"
"janeiro 2012";"7201010.Instrumento musical";"-1,28";"0,0415"
"janeiro 2012";"7201018.Tratamento de animais";"0,99";"0,1898"
"janeiro 2012";"7201019.Bicicleta";"0,43";"0,0953"
"janeiro 2012";"7201020.Alimento para animais";"2,22";"0,2495"
"janeiro 2012";"7201023.Brinquedo";"0,74";"0,4481"
"janeiro 2012";"7201052.Locação de DVD";"0,30";"0,1390"
"janeiro 2012";"7201054.Boate e danceteria";"0,92";"0,2843"
"janeiro 2012";"7201063.Jogos de azar";"0,00";"0,4146"
"janeiro 2012";"7201068.Motel";"-1,17";"0,0040"
"janeiro 2012";"7201090.Hotel";"4,01";"0,3843"
"janeiro 2012";"7201095.Excursão";"1,69";"0,3990"
"janeiro 2012";"7202.Fumo";"0,00";"0,7806"
"janeiro 2012";"7203.Fotografia e filmagem";"-0,34";"0,0847"
"janeiro 2012";"8101.Cursos regulares";"0,35";"2,7530"
"janeiro 2012";"8102.Leitura";"0,52";"0,5619"
"janeiro 2012";"8103.Papelaria";"1,34";"0,3268"
"janeiro 2012";"8104.Cursos diversos";"0,00";"0,7318"
"janeiro 2012";"9.Comunicação";"0,21";"4,9631"
"fevereiro 2012";"Índice geral";"0,45";"100,0000"
"fevereiro 2012";"1.Alimentação e bebidas";"0,19";"23,1948"
"fevereiro 2012";"2101.Aluguel e taxas";"0,87";"6,7905"
"fevereiro 2012";"2103.Reparos";"0,60";"2,4060"
"fevereiro 2012";"2104.Artigos de limpeza";"0,05";"0,8273"
"fevereiro 2012";"22.Combustíveis e energia";"0,29";"4,5876"
"fevereiro 2012";"3.Artigos de residência";"0,06";"4,6575"
"fevereiro 2012";"4.Vestuário";"-0,23";"6,6379"
"fevereiro 2012";"5101.Transporte público";"-0,44";"4,9986"
"fevereiro 2012";"5102.Veículo próprio";"-0,02";"10,2722"
"fevereiro 2012";"5104.Combustíveis (veículos)";"-0,83";"5,2979"
"fevereiro 2012";"61.Produtos farmacêuticos e óticos";"0,54";"3,7528"
"fevereiro 2012";"62.Serviços de saúde";"0,72";"4,6719"
"fevereiro 2012";"63.Cuidados pessoais";"0,89";"2,6397"
"fevereiro 2012";"71.Serviços pessoais";"1,42";"6,0061"
"fevereiro 2012";"7201001.Cinema";"0,70";"0,1835"
"fevereiro 2012";"7201002.CD e DVD";"0,33";"0,0645"
"fevereiro 2012";"7201003.Ingresso para jogo";"0,16";"0,0149"
"fevereiro 2012";"7201006.Clube";"3,09";"0,1561"
"fevereiro 2012";"7201010.Instrumento musical";"0,70";"0,0407"
