"Tabela 2938 - IPCA - Variação mensal, acumulada no ano e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (de julho/2006 até dezembro/2011)"
"Mês";"Geral, grupo, subgrupo, item e subitem";"Variável"
"Mês";"Geral, grupo, subgrupo, item e subitem";"Brasil"
"Mês";"Geral, grupo, subgrupo, item e subitem";"IPCA - Variação mensal (%)";"IPCA - Peso mensal (%)"
"julho 2006";"Índice geral";"0,19";"100,0000"
"julho 2006";"1.Alimentação e bebidas";"0,09";"20,2879"
"julho 2006";"2101.Aluguel e taxas";"0,30";"6,2875"
"julho 2006";"2103.Reparos";"0,40";"1,4057"
"julho 2006";"2104.Artigos de limpeza";"-0,49";"0,7988"
"julho 2006";"22.Combustíveis e energia";"-0,45";"5,2159"
"julho 2006";"3.Artigos de residência";"0,02";"4,8371"
"julho 2006";"4.Vestuário";"-0,24";"6,5229"
"julho 2006";"5101.Transporte público";"0,97";"6,3124"
"julho 2006";"5102.Veículo próprio";"-0,26";"9,2656"
"julho 2006";"5104.Combustíveis (veículos)";"0,76";"5,3804"
"julho 2006";"61.Produtos farmacêuticos e óticos";"0,28";"3,4721"
"julho 2006";"62.Serviços de saúde";"0,73";"4,8832"
"julho 2006";"63.Cuidados pessoais";"0,07";"2,3929"
"julho 2006";"71.Serviços pessoais";"0,89";"4,8303"
"julho 2006";"7201001.Cinema";"0,87";"0,3023"
"julho 2006";"7201003.Ingresso para jogo";"1,16";"0,0505"
"julho 2006";"7201006.Clube";"0,31";"0,1962"
"julho 2006";"7201008.Disco laser";"-0,88";"0,2770"
"julho 2006";"7201010.Instrumento musical";"-0,94";"0,0945"
"julho 2006";"7201018.Compra e tratamento de animais";"0,83";"0,0677"
"julho 2006";"7201019.Bicicleta";"1,01";"0,0845"
"julho 2006";"7201020.Alimento para animais";"0,86";"0,3170"
"julho 2006";"7201023.Brinquedo";"0,28";"0,4502"
"julho 2006";"7201052.Aluguel de DVD e fita de videocassete";"1,45";"0,2296"
"julho 2006";"7201054.Boate, danceteria e discoteca";"-0,33";"0,4221"
"julho 2006";"7201063.Jogos de azar";"0,00";"0,4344"
"julho 2006";"7201068.Motel";"0,13";"0,0836"
"julho 2006";"7201083.Material esportivo";"0,80";"0,0054"
"julho 2006";"7201090.Hotel";"1,52";"0,2959"
"julho 2006";"7201095.Excursão";"4,88";"0,1079"
"julho 2006";"7202.Fumo";"0,30";"0,7469"
"julho 2006";"7203.Fotografia e filmagem";"-0,60";"0,2643"
"julho 2006";"8101.Cursos";"0,04";"4,8965"
"julho 2006";"8102.Leitura";"0,90";"0,8281"
"julho 2006";"8103.Papelaria";"-0,91";"0,3368"
"julho 2006";"8104.Cursos diversos";"0,04";"1,0593"
"julho 2006";"9.Comunicação";"-0,07";"6,5564"
"agosto 2006";"Índice geral";"0,05";"100,0000"
"agosto 2006";"1.Alimentação e bebidas";"0,07";"20,2695"
"agosto 2006";"2101.Aluguel e taxas";"0,32";"6,2931"
"agosto 2006";"2103.Reparos";"0,01";"1,4083"
"agosto 2006";"2104.Artigos de limpeza";"-0,30";"0,7935"
"agosto 2006";"22.Combustíveis e energia";"-0,04";"5,1826"
"agosto 2006";"3.Artigos de residência";"-0,14";"4,8296"
"agosto 2006";"4.Vestuário";"0,09";"6,4957"
"agosto 2006";"5101.Transporte público";"0,14";"6,3608"
"agosto 2006";"5102.Veículo próprio";"-0,60";"9,2245"
"agosto 2006";"5104.Combustíveis (veículos)";"-0,37";"5,4103"
